transaction_id,user_id,amount,timestamp
0,1688,77.10978915232766,2026-05-13 00:06:40.656856
1,1480,74.02884815056382,2026-05-13 01:06:40.656856
2,1907,129.9536097642147,2026-05-13 02:06:40.656856
3,1109,98.79905566992547,2026-05-13 03:06:40.656856
4,1289,98.31688418282286,2026-05-13 04:06:40.656856
5,1990,90.42623061283903,2026-05-13 05:06:40.656856
6,1132,89.66719711573397,2026-05-13 06:06:40.656856
7,1070,77.72891204821968,2026-05-13 07:06:40.656856
8,1229,127.1736526254256,2026-05-13 08:06:40.656856
9,1070,94.14309873473921,2026-05-13 09:06:40.656856
10,1278,86.82563888325888,2026-05-13 10:06:40.656856
11,1749,111.1485454502632,2026-05-13 11:06:40.656856
12,1133,101.11801900405275,2026-05-13 12:06:40.656856
13,1258,143,2026-05-13 13:06:40.656856
14,1095,97,2026-05-13 14:06:40.656856
15,1250,98,2026-05-13 15:06:40.656856
16,1071,99,2026-05-13 16:06:40.656856
17,1367,100,2026-05-13 17:06:40.656856
18,1452,105,2026-05-13 18:06:40.656856
19,1974,140,2026-05-13 19:06:40.656856
20,1163,120,2026-05-13 20:06:40.656856


